artist,album,track,track_id,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mood,lyrics
Sia,Colour The Small One,Breathe Me,7jqzZyJJLrpkRFYGpkqSK6,0.552,0.643,0,-7.36,0.0327,0.0364,0.74,0.105,0.212,120.012,272800,4,Calm,"{'title': 'Sia – Breathe Me Lyrics', 'lyrics': ""[Verse 1]\nHelp, I have done it again\nI have been here many times before\nHurt myself again today\nAnd, the worst part is there's no-one else to blame\n\n[Chorus]\nBe my friend, hold me\nWrap me up, unfold me\nI am small and needy\nWarm me up and breathe me\n\n[Verse 2]\nOuch I have lost myself again\nLost myself and I am nowhere to be found\nYeah I think that I might break\nLost myself again and I feel unsafe\n\n[Chorus]\nBe my friend, hold me\nWrap me up, unfold me\nI am small and needy\nWarm me up and breathe me\nBe my friend, hold me\nWrap me up, unfold me\nI am small and needy\nWarm me up and breathe me""}"
Bon Iver,"For Emma, Forever Ago",Skinny Love,1NyFRrFiJAJIaR6icj1goI,0.592,0.256,4,-14.031,0.0449,0.842,2.38e-06,0.088,0.103,76.361,238533,4,Calm,"{'title': 'Bon Iver – Skinny Love Lyrics', 'lyrics': ""[Verse 1]\nCome on, skinny love, just last the year\nPour a little salt, we were never here\nMy my my, my my my, my my\nStaring at the sink of blood and crushed veneer\nI tell my love to wreck it all\nCut out all the ropes and let me fall\nMy my my, my my my, my my\nRight in this moment, this order's tall\n\n[Chorus]\nAnd I told you to be patient\nAnd I told you to be fine\nAnd I told you to be balanced\nAnd I told you to be kind\nAnd in the morning I'll be with you\nBut it will be a different kind\nAnd I'll be holding all the tickets\nAnd you'll be owning all the fines\n\n[Verse 2]\nCome on, skinny love, what happened here?\nSuckle on the hope in light brassieres\nMy my my, my my my, my my\nSullen load is full, so slow on the split\n\n[Chorus]\nAnd I told you to be patient\nAnd I told you to be fine\nAnd I told you to be balanced\nAnd I told you to be kind\nAnd now all your love is wasted\nAnd then who the hell was I?\nAnd I'm breaking at the britches\nAnd at the end of all your lines\n\n[Verse 3]\nWho will love you?\nWho will fight?\nWho will fall far behind?""}"
Daughter,The Wild Youth EP,Youth,1JDMO4EVPHtm0xXhJb2IjR,0.588,0.477,9,-12.71,0.0492,0.61,0.00188,0.122,0.488,150.396,251627,4,Calm,"{'title': 'Daughter – Youth Lyrics', 'lyrics': ""[Verse 1]\nShadows settle on the place that you left\nOur minds are troubled by the emptiness\nDestroy the middle, it's a waste of time\nFrom the perfect start to the finish line\n\n[Chorus 1]\nAnd if you're still breathing, you're the lucky ones\n'Cause most of us are heaving through corrupted lungs\nSetting fire to our insides for fun\nCollecting names of the lovers that went wrong\nThe lovers that went wrong\n\n[Verse 2]\nWe are the reckless, we are the wild youth\nChasing visions of our futures\nOne day, we'll reveal the truth\nThat one will die before he gets there\n\n[Chorus 2]\nAnd if you're still bleeding, you're the lucky ones\n'Cause most of our feelings, they are dead and they are gone\nWe're setting fire to our insides for fun\nCollecting pictures from a flood that wrecked our home\nIt was a flood that wrecked this home\n\n[Post-Chorus]\nAnd you caused it\nAnd you caused it\nAnd you caused it\n\n[Bridge]\nWell, I've lost it all, I'm just a silhouette\nI'm a lifeless face that you'll soon forget\nAnd my eyes are damp from the words you left\nRinging in my head, when you broke my chest\nRinging in my head, when you broke my chest\n\n[Chorus 3]\nAnd if you're in love, then you are the lucky one\n'Cause most of us are bitter over someone\nSetting fire to our insides for fun\nTo distract our hearts from ever missing them\nBut I'm forever missing him\n\n[Post-Chorus]\nAnd you caused it\nAnd you caused it\nAnd you caused it""}"
James Bay,Chaos And The Calm,Let It Go,13HVjjWUZFaWilh2QUJKsP,0.546,0.311,1,-10.396,0.0288,0.818,1.65e-05,0.107,0.246,147.464,260533,4,Calm,"{'title': 'James Bay – Let It Go Lyrics', 'lyrics': ""[Verse 1]\nFrom walking home and talking loads\nTo seeing shows in evening clothes with you\nFrom nervous touch and getting drunk\nTo staying up and waking up with you\n\n[Pre-Chorus]\nNow we're slipping near the edge\nHolding something we don't need\nAll this delusion in our heads\nIs gonna bring us to our knees\n\n[Chorus]\nSo, come on, let it go, just let it be\nWhy don't you be you, and I'll be me?\nEverything that's broke, leave it to the breeze\nWhy don't you be you, and I'll be me?\nAnd I'll be me\n\n[Verse 2]\nFrom throwing clothes across the floor\nTo teeth and claws and slamming doors at you\nIf this is all we're living for\nWhy are we doing it, doing it, doing it anymore?\n\n[Pre-Chorus]\nI used to recognize myself\nIt's funny how reflections change\nWhen we're becoming something else\nI think it's time to walk away\n\n[Chorus]\nSo, come on, let it go, just let it be\nWhy don't you be you, and I'll be me?\nEverything that's broke, leave it to the breeze\nWhy don't you be you, and I'll be me?\nAnd I'll be me\n\n[Bridge]\nTryna fit your hand inside of mine\nWhen we know it just don't belong\n'Cause no force on earth could make it feel right, no, no\nTryna push this problem up the hill\nWhen it's just too heavy to hold\nI think now's the time to let it slide\n\n[Breakdown]\nSo, come on, let it go, just let it be\nWhy don't you be you, and I'll be me?\nEverything that's broke, leave it to the breeze\nLet the ashes fall, forget about me\n\n[Outro]\nCome on, let it go, just let it be\nWhy don't you be you, and I'll be me?\nAnd I'll be me\n(Ooh, me, you)""}"
Amy Winehouse,Back To Black,Love Is A Losing Game,4IMBnBRqm9RALmLrRqfMor,0.48,0.561,0,-5.874,0.027,0.317,0.00641,0.184,0.541,164.791,154160,4,Calm,"{'title': 'Amy Winehouse – Love Is a Losing Game Lyrics', 'lyrics': ""[Verse 1]\nFor you, I was a flame\nLove is a losing game\nFive story fire as you came\nLove is a losing game\nOne I wish I never played\nOh, what a mess we made\nAnd now the final frame\nLove is a losing game\n\n[Verse 2]\nPlayed out by the band\nLove is a losing hand\nMore than I could stand\nLove is a losing hand\nSelf-professed, profound\n'Til the chips were down\nThough you're a gambling man\nLove is a losing hand\n\n[Verse 3]\nThough I battle blind\nLove is a fate resigned\nMemories mar my mind\nLove is a fate resigned\nOver futile odds\nAnd laughed at by the gods\nAnd now the final frame\nLove is a losing game""}"
Dan Millson,Queen Without a Crown,Queen Without a Crown,05jIX75dqFuyWLLd6kis2p,0.243,0.147,0,-12.393,0.0352,0.758,0.0,0.116,0.173,84.153,300805,4,Calm,NaN
Pink Floyd,Wish You Were Here [2011 - Remaster] (2011 Remastered Version),Wish You Were Here - 2011 Remastered Version,1wHSxWBfPr3GO31y8KGrWe,0.481,0.262,7,-15.73,0.0414,0.735,0.0114,0.832,0.375,122.883,334744,4,Calm,"{'title': 'Pink Floyd – Wish You Were Here Lyrics', 'lyrics': ""[Spoken Intro]\nAnd disciplinary remains mercifully\nYes and um, I’m with you Derek, this star nonsense\nYes, yes, now which is it?\nI am sure of it\n\n[Twelve-string guitar Intro]\n\n[Verse]\nSo, so you think you can tell\nHeaven from Hell? Blue skies from pain?\nCan you tell a green field from a cold steel rail?\nA smile from a veil? Do you think you can tell?\nDid they get you to trade your heroes for ghosts?\nHot ashes for trees? Hot air for a cool breeze?\nCold comfort for change? Did you exchange\nA walk-on part in the war\nFor a lead role in a cage?\n\n[Acoustic Guitar Solo]\n\n[Chorus]\nHow I wish, how I wish you were here\nWe're just two lost souls swimming in a fishbowl year after year\nRunning over the same old ground, what have we found?\nThe same old fears, wish you were here\n\n[Instrumental Outro & Scatting]""}"
Sufjan Stevens,Carrie & Lowell,Should Have Known Better,5I6y1KWmUoV5YCaIEcs1qs,0.571,0.172,7,-20.7,0.0318,0.979,0.275,0.124,0.297,90.972,307698,4,Calm,"{'title': 'Sufjan Stevens – Should Have Known Better Lyrics', 'lyrics': 'I should have known better\nTo see what I could see\nMy black shroud\nHolding down my feelings\nA pillar for my enemies\n\nI should have wrote a letter\nAnd grieve what I happen to grieve\nMy black shroud\nI never trust my feelings\nI waited for the remedy\n\nWhen I was three, three, maybe four\nShe left us at that video store\nOh, be my rest, be my fantasy\nOh, be my rest, be my fantasy\n\nI’m light as a feather\nI’m bright as the Oregon breeze\nMy black shroud\nFrightened by my feelings\nI only wanna be a relief\n\nNo, I’m not a go-getter\nThe demon had a spell on me\nMy black shroud\nCaptain of my feelings\nThe only thing I wanna believe\n\nWhen I was three, and free to explore\nI saw her face on the back of the door\nOh, be my rest, be my fantasy\nOh, be my rest, be my fantasy\n\nI should have known better\nNothing can be changed\nThe past is still the past\nThe bridge to nowhere\nI should have wrote a letter\nExplaining what I feel, that empty feeling\n\nDon’t back down, concentrate on seeing\nThe breakers in the bar, the neighbor’s greeting\nMy brother had a daughter\nThe beauty that she brings, illumination\n\nDon’t back down, there is nothing left\nThe breakers in the bar, no reason to live\nI’m a fool in the fetter (fool in the fetter)\nRose of Aaron’s beard, where you can reach me\n\nDon’t back down: nothing can be changed\nCantilever bridge, the drunken sailor\nMy brother had a daughter (brother had a daughter)\nThe beauty that she brings, illumination (illumination)\nIllumination'}"
Adele,21,Someone Like You,6QPKYGnAW9QozVz2dSWqRg,0.554,0.321,9,-8.251,0.028,0.893,0.0,0.0996,0.288,135.047,285240,4,Calm,"{'title': 'Adele – Someone Like You Lyrics', 'lyrics': ""[Verse 1]\nI heard that you're settled down\nThat you found a girl and you're married now\nI heard that your dreams came true\nGuess she gave you things I didn't give to you\nOld friend, why are you so shy?\nAin't like you to hold back or hide from the light\n\n[Pre-Chorus]\nI hate to turn up out of the blue, uninvited\nBut I couldn't stay away, I couldn't fight it\nI had hoped you'd see my face\nAnd that you'd be reminded that for me, it isn't over\n\n[Chorus]\nNever mind, I'll find someone like you\nI wish nothing but the best for you, too\nDon't forget me, I beg\nI remember you said\nSometimes it lasts in love, but sometimes it hurts instead\nSometimes it lasts in love, but sometimes it hurts instead\n\n[Verse 2]\nYou know how the time flies\nOnly yesterday was the time of our lives\nWe were born and raised in a summer haze\nBound by the surprise of our glory days\n\n[Pre-Chorus]\nI hate to turn up out of the blue, uninvited\nBut I couldn't stay away, I couldn't fight it\nI had hoped you'd see my face\nAnd that you'd be reminded that for me, it isn't over\n\n[Chorus]\nNever mind, I'll find someone like you\nI wish nothing but the best for you, too\nDon't forget me, I beg\nI remember you said\nSometimes it lasts in love, but sometimes it hurts instead\n\n[Bridge]\nNothing compares, no worries or cares\nRegrets and mistakes, they're memories made\nWho would have known how bittersweet this would taste?\n\n[Breakdown]\nNever mind, I'll find someone like you\nI wish nothing but the best for you\nDon't forget me, I beg\nI remember you said\nSometimes it lasts in love, but sometimes it hurts instead\n\n[Chorus]\nNever mind, I'll find someone like you\nI wish nothing but the best for you, too\nDon't forget me, I beg\nI remember you said\nSometimes it lasts in love, but sometimes it hurts instead\nSometimes it lasts in love, but sometimes it hurts instead""}"
The Cinematic Orchestra,Ma Fleur,To Build A Home,54KFQB6N4pn926IUUYZGzK,0.264,0.122,9,-15.399,0.0349,0.885,0.349,0.094,0.0735,148.658,371320,4,Calm,"{'title': 'The Cinematic Orchestra – To Build a Home Lyrics', 'lyrics': ""[Verse 1]\nThere is a house built out of stone\nWooden floors, walls, and window sills\nTables and chairs worn by all of the dust\nThis is a place where I don't feel alone\nThis is a place where I feel at home\n\n[Chorus]\nAnd I built a home\nFor you, for me\nUntil it disappeared\nFrom me, from you\nAnd now, it's time to leave\nAnd turn to dust\n\n[Verse 2]\nOut in the garden where we planted the seeds\nThere is a tree as old as me\nBranches were sewn by the color of green\nGround had arose and passed its knees\n\n[Verse 3]\nBy the cracks of his skin I climbed to the top\nI climbed the tree to see the world\nWhen the gusts came around to blow me down\nHeld on as tightly as you held onto me\nHeld on as tightly as you held onto me\n[Chorus]\nAnd I built a home\nFor you, for me\nUntil it disappeared\nFrom me, from you\nAnd now, it's time to leave\nAnd time to die""}"
